id,price_per_gallon,user_id,gas_station_id,fuel_type_id,enabled,create_date,last_update,remarks
1,2.780,2,1,1,1,"2025-06-12 00:00:00","2025-06-12 00:00:00","these prices stink"
2,2.770,3,2,1,1,"2025-06-12 00:00:00","2025-06-12 00:00:00","these prices smell good"
3,2.880,4,3,1,1,"2025-06-12 00:00:00","2025-06-12 00:00:00","very fragrant pricing"
4,2.810,3,1,1,1,"2025-06-14 00:00:00","2025-06-14 00:00:00","this place DOES stink"
5,2.920,3,1,2,1,"2025-06-14 00:00:00","2025-06-14 00:00:00",phew
6,2.890,2,2,2,1,"2025-06-15 00:00:00","2025-06-15 00:00:00","it is gas"
7,3.010,2,2,3,1,"2025-06-15 00:00:00","2025-06-15 00:00:00",NULL
8,2.920,2,2,4,1,"2025-06-15 00:00:00","2025-06-15 00:00:00",NULL
9,2.900,4,3,2,1,"2025-06-16 00:00:00","2025-06-16 00:00:00",NULL
10,2.940,4,3,3,1,"2025-06-16 00:00:00","2025-06-16 00:00:00",NULL
11,2.880,4,3,4,1,"2025-06-16 00:00:00","2025-06-16 00:00:00",NULL
12,2.860,4,3,1,1,"2025-06-16 00:00:00","2025-06-16 00:00:00",NULL
13,2.720,3,2,1,1,"2025-06-16 00:00:00","2025-06-16 00:00:00",NULL
